종속변수,전체 샘플,발생,미발생,발생률,클래스 균형
DEPRESSION,14798,2417,12381,16.3%,0.20
ANXIETY,14685,2206,12479,15.0%,0.18
STRESS,14682,3610,11072,24.6%,0.33
